segment_id,time_to_eruption
1000213997,21872381.897825442
100023368,35368345.703302525
1000488999,29969302.847850613
1001028887,22512621.37526999
1001857862,18429303.325992785
1003310246,33059604.08919402
1003545497,36604295.443514146
1004288653,19547510.223757565
10044968,10426402.939211588
1005166812,26554792.354784936
1005502784,25652959.560272597
1005767712,19818921.968410317
1005985933,26839347.914807294
1006013726,31597626.072873343
1006026494,14394741.10404986
1006540019,15622638.720041286
1007067208,36151590.492046036
1007233480,26384718.658077046
100741545,31903237.909263145
100781580,8909083.746917067
1008031106,36788127.753365815
1008453141,9485984.20874948
1008467020,24726996.412316762
1008990702,17543266.10049495
100924436,15160672.750320178
1009570124,20500579.34766347
1010782837,25536479.18395571
101092507,25815963.647724863
1010943716,29425163.911987673
1011004896,25709045.54265901
101110196,18373418.924636994
1011275894,26286761.398160476
1013422575,16683892.749059971
1013765862,6541778.13746425
1014679633,29396544.83551366
1016115878,37624700.68462866
1016184206,20977936.78613958
1017230048,27253341.202563044
1017425206,31945347.895506937
101767110,27722058.342175487
1017793579,10844952.687739994
1018339787,18950103.885492753
1018415836,23489405.184559956
1018835959,27335324.448932648
1019822001,18385863.749107275
1020904533,42721247.42110631
1021766991,31238437.303231634
1022303057,29089991.64777695
1022564826,7580163.906001267
1022792201,46211572.94475299
1022920538,4606376.175294784
102293055,31415755.212993838
1023129837,34634969.370981425
1023178939,7834463.368993609
1024202315,44483785.483409494
1025034217,36315827.645854905
1025592404,19210729.607281715
1026104909,21591574.029825777
1026215164,15459367.503019111
1026330044,31165474.53137581
1026893635,31113635.56225142
1027015334,25016993.31561823
1027196270,24254468.022146385
1027492850,30067010.32739005
1028291376,31581183.618233472
1028734549,10949483.027607113
1028909050,34863404.221252955
1028936480,5630820.64742025
1030142029,25118605.82586773
1030502977,11060942.313951723
1031020617,14967895.106596347
1031159375,31536115.620094787
1031162177,32181838.314881574
103255324,33258700.19560433
1033010545,29684640.75591895
1033712814,28667204.10296165
1034145574,17818304.293979984
1034149150,39064628.02512872
1034495604,16280868.293737542
1034575439,4100234.524483043
1034661081,19276224.101209275
1036359163,28342313.490051873
1036419067,19747461.51558385
1037409111,35740274.982370585
1037457727,39577014.54943726
1037866071,22018801.637917537
1037870582,31206322.643641707
1038229705,7072446.946388905
1038561162,24341775.561406415
1038795212,37279370.61294421
1039022988,22470406.40555562
1039467390,24850244.18724243
1040926190,35444269.009729855
1041238096,13104766.146152534
1042404145,34225412.7683256
1042683102,23153095.457594357
1042872766,10530409.729081618
1042966293,36674693.389163576
1044132676,35548183.63334678
1044145499,21633651.37177991
1044572708,26607562.575135596
1044918875,33003099.80642704
1044919243,13060464.744936537
